,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-03-01,93.87,94.68,91.59,92.17,92.169998,52128112,49955073,-1.7,-1.81,92.56,"March 01, 23",-0.0181
1,2023-02-28,93.14,94.69,92.92,94.23,94.230003,43959290,43901300,1.09,1.17,93.93,"February 28, 23",0.0117
2,2023-02-27,94.28,94.78,93.14,93.76,93.760002,47470321,47470300,-0.52,-0.55155,93.81,"February 27, 23",-0.0055155
3,2023-02-24,93.53,94.14,92.3186,93.5,93.5,57053812,57053800,-0.03,-0.03207527,93.15,"February 24, 23",-0.0003207527
4,2023-02-23,96.12,96.43,93.67,95.82,95.82,48466994,48467000,-0.3,-0.31211,95.27,"February 23, 23",-0.0031211
5,2023-02-22,95.1,97.01,94.8,95.79,95.790001,59484094,59534100,0.69,0.72555,95.92,"February 22, 23",0.0072555
6,2023-02-21,95.335,95.605,94.27,94.58,94.580002,56580360,56580400,-0.755,-0.79194,94.78,"February 21, 23",-0.0079194
7,2023-02-17,97.8,97.94,95.65,97.2,97.199997,60029405,59967700,-0.6,-0.6135,96.62,"February 17, 23",-0.006135
8,2023-02-16,99.21,100.63,98.1,98.15,98.150002,56309473,56339200,-1.06,-1.07,99.23,"February 16, 23",-0.0107
9,2023-02-15,99.09,101.17,98.45,101.16,101.160004,48053879,48053900,2.07,2.09,99.94,"February 15, 23",0.0209
10,2023-02-14,98.41,100.9207,97.52,99.7,99.699997,56202698,56202900,1.29,1.31,99.05,"February 14, 23",0.0131
11,2023-02-13,97.85,99.68,96.91,99.54,99.540001,52775864,52841500,1.69,1.73,98.82,"February 13, 23",0.0173
12,2023-02-10,97.56,98.8163,96.23,97.61,97.610001,52733633,52698600,0.05,0.05125051,97.47,"February 10, 23",0.0005125051
13,2023-02-09,101.32,101.78,97.57,98.24,98.239998,64568489,64622500,-3.08,-3.04,99.37,"February 09, 23",-0.0304
