,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-03-01,349.39,352.54,345.96,346.23,346.230011,2673225,2663861,-3.16,-0.90443,347.97,"March 01, 23",-0.0090443
1,2023-02-28,366.0,366.01,351.33,351.65,351.649994,4945557,4943600,-14.35,-3.92,355.24,"February 28, 23",-0.0392
2,2023-02-27,368.22,370.3,364.505,365.53,365.529999,2842388,2842400,-2.69,-0.73054,366.45,"February 27, 23",-0.0073054
3,2023-02-24,360.17,365.18,359.53,363.85,363.850006,2428661,2428600,3.68,1.02,362.75,"February 24, 23",0.0102
4,2023-02-23,363.2,367.88,359.61,363.54,363.540009,1931502,1931400,0.34,0.09361233,362.98,"February 23, 23",0.0009361233
5,2023-02-22,361.63,363.0,358.041,360.89,360.890015,2203940,2203800,-0.74,-0.20463,360.82,"February 22, 23",-0.0020463
6,2023-02-21,366.72,366.72,360.09,361.12,361.119995,2403029,2403000,-5.6,-1.53,361.91,"February 21, 23",-0.0153
7,2023-02-17,368.05,371.06,366.86,368.5,368.5,1857335,1857000,0.45,0.12227,368.74,"February 17, 23",0.0012227
8,2023-02-16,370.75,374.25,368.8001,370.2,370.200012,1947985,1947800,-0.55,-0.14835,371.73,"February 16, 23",-0.0014835
9,2023-02-15,368.74,374.365,368.25,374.34,374.339996,1687569,1687600,5.6,1.52,372.38,"February 15, 23",0.0152
10,2023-02-14,373.94,377.05,369.38,371.78,371.779999,2152928,2155500,-2.16,-0.57763,372.28,"February 14, 23",-0.0057763
11,2023-02-13,369.09,375.06,368.0,374.02,374.019989,1570700,1570600,4.93,1.34,373.48,"February 13, 23",0.0134
12,2023-02-10,367.0,372.23,364.555,371.28,371.279999,1933370,1932900,4.28,1.17,369.93,"February 10, 23",0.0117
13,2023-02-09,377.04,379.68,367.8,367.99,367.98999,2052544,2052500,-9.05,-2.4,371.79,"February 09, 23",-0.024
14,2023-02-08,372.92,378.35,371.98,375.1,375.100006,1880273,1893200,2.18,0.58458,376.34,"February 08, 23",0.0058458
15,2023-02-07,368.17,376.31,367.34,374.4,374.399994,2205581,2205500,6.23,1.69,372.95,"February 07, 23",0.0169
16,2023-02-06,369.0,371.2552,365.78,370.8,370.799988,1815448,1816200,1.8,0.4878,369.64,"February 06, 23",0.004878
17,2023-02-03,365.62,374.57,365.44,369.95,369.950012,2243051,2242500,4.33,1.18,370.85,"February 03, 23",0.0118
18,2023-02-02,368.0,372.89,364.5501,369.47,369.470001,2615177,2619600,1.47,0.39946,370.22,"February 02, 23",0.0039946
19,2023-02-01,359.1,368.94,358.76,365.71,365.709991,2889433,2889400,6.61,1.84,363.78,"February 01, 23",0.0184
20,2023-01-31,359.16,365.92,356.86,365.81,365.809998,2306294,2311500,6.65,1.85,362.87,"January 31, 23",0.0185
