,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-03-01,291.92,293.72,288.66,290.79,290.790009,5892696,4525509,-1.13,-0.38709,290.76,"March 01, 23",-0.0038709
1,2023-02-28,295.0,298.6999,294.3135,296.54,296.540009,3949457,3948600,1.54,0.52203,296.82,"February 28, 23",0.0052203
2,2023-02-27,299.36,300.49,295.04,296.01,296.01001,3238332,3238300,-3.35,-1.12,296.92,"February 27, 23",-0.0112
3,2023-02-24,292.4,298.3282,292.001,296.66,296.660004,3713328,3713300,4.26,1.46,295.97,"February 24, 23",0.0146
4,2023-02-23,296.79,299.88,294.62,299.31,299.309998,4354477,4354500,2.52,0.84909,297.55,"February 23, 23",0.0084909
5,2023-02-22,297.55,300.4,295.09,296.3,296.299988,5922119,5922100,-1.25,-0.4201,297.59,"February 22, 23",-0.004201
6,2023-02-21,305.55,308.01,295.026,295.5,295.5,10891773,10891800,-10.05,-3.29,299.5,"February 21, 23",-0.0329
7,2023-02-17,318.68,320.6,312.95,317.95,317.950012,4980143,4983400,-0.73,-0.22907,317.02,"February 17, 23",-0.0022907
8,2023-02-16,315.0,323.74,314.93,321.24,321.23999,3169211,3169200,6.24,1.98,320.62,"February 16, 23",0.0198
9,2023-02-15,315.88,321.5309,315.79,320.69,320.690002,2585889,2585900,4.81,1.52,319.72,"February 15, 23",0.0152
10,2023-02-14,320.61,322.962,315.67,318.43,318.429993,3380793,3380800,-2.18,-0.67995,318.6,"February 14, 23",-0.0067995
11,2023-02-13,317.34,323.69,315.61,323.53,323.529999,2432487,2432500,6.19,1.95,321.54,"February 13, 23",0.0195
12,2023-02-10,313.85,317.2,312.7501,316.54,316.540009,2768995,2768800,2.69,0.8571,315.68,"February 10, 23",0.008571
13,2023-02-09,323.1,323.89,314.83,315.55,315.549988,3063322,3063300,-7.55,-2.34,317.47,"February 09, 23",-0.0234
14,2023-02-08,322.94,323.99,319.5667,320.79,320.790009,2777196,2777200,-2.15,-0.66576,321.39,"February 08, 23",-0.0066576
15,2023-02-07,324.0,327.0,320.72,325.2,325.200012,3865481,3865500,1.2,0.37037,324.18,"February 07, 23",0.0037037
16,2023-02-06,328.99,331.01,327.46,329.27,329.269989,2229679,2229700,0.28,0.08510897,329.17,"February 06, 23",0.0008510897
17,2023-02-03,332.53,334.7099,330.33,331.5,331.5,3389884,3389700,-1.03,-0.30975,331.97,"February 03, 23",-0.0030975
18,2023-02-02,333.45,341.4691,332.69,339.79,339.790009,4776634,4776600,6.34,1.9,338.58,"February 02, 23",0.019
19,2023-02-01,322.39,330.545,317.6382,328.09,328.089996,3076471,3076500,5.7,1.77,323.94,"February 01, 23",0.0177
20,2023-01-31,315.99,324.35,315.095,324.17,324.170013,3526837,3526800,8.18,2.59,321.95,"January 31, 23",0.0259
21,2023-01-30,315.83,318.14,313.69,314.24,314.23999,2643141,2643100,-1.59,-0.50344,315.23,"January 30, 23",-0.0050344
22,2023-01-27,312.02,318.24,311.33,316.69,316.690002,2761169,2760800,4.67,1.5,315.68,"January 27, 23",0.015
