,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-03-01,153.01,153.24,151.91,152.57,152.570007,6746235,5689245,-0.44,-0.28756,152.42,"March 01, 23",-0.0028756
1,2023-02-28,154.98,155.27,153.04,153.26,153.259995,9062342,9056800,-1.72,-1.11,153.71,"February 28, 23",-0.0111
2,2023-02-27,156.45,156.9,155.08,155.63,155.630005,7267122,7267100,-0.82,-0.52413,155.8,"February 27, 23",-0.0052413
3,2023-02-24,156.65,156.85,155.21,155.97,155.970001,8689726,8689700,-0.68,-0.43409,155.91,"February 24, 23",-0.0043409
4,2023-02-23,157.71,158.585,156.67,157.73,157.729996,9385092,9385100,0.02,0.0126815,157.62,"February 23, 23",0.000126815
5,2023-02-22,158.5,158.85,157.37,157.78,157.779999,9820240,9820200,-0.72,-0.45426,157.96,"February 22, 23",-0.0045426
6,2023-02-21,159.65,160.35,157.89,158.0,158.0,9423860,9423900,-1.65,-1.03,158.5,"February 21, 23",-0.0103
7,2023-02-17,157.02,161.11,156.62,160.39,160.389999,12401926,12400200,3.37,2.15,159.57,"February 17, 23",0.0215
8,2023-02-16,159.075,159.65,157.92,158.24,157.110001,11176958,11177000,-0.835,-0.52491,158.68,"February 16, 23",-0.0052491
9,2023-02-15,161.95,161.98,159.29,159.37,158.231918,12633301,12633300,-2.58,-1.59,160.19,"February 15, 23",-0.0159
10,2023-02-14,162.74,162.9699,161.76,162.04,160.882858,6306511,6316000,-0.7,-0.43013,162.29,"February 14, 23",-0.0043013
11,2023-02-13,161.33,162.82,161.15,162.75,161.587799,6414709,6414700,1.42,0.88018,162.42,"February 13, 23",0.0088018
12,2023-02-10,161.77,162.79,161.35,162.15,160.992065,7028039,7019700,0.38,0.2349,162.19,"February 10, 23",0.002349
13,2023-02-09,163.63,164.795,161.07,161.4,160.247421,7949544,7949500,-2.23,-1.36,162.12,"February 09, 23",-0.0136
14,2023-02-08,163.3,164.56,162.8995,163.61,162.44165,6054697,6054700,0.31,0.18983,163.71,"February 08, 23",0.0018983
15,2023-02-07,161.6,163.88,161.42,163.4,162.233139,7310756,7310800,1.8,1.11,162.57,"February 07, 23",0.0111
16,2023-02-06,164.55,164.8525,163.1,163.36,162.193436,7020989,7021000,-1.19,-0.72318,163.44,"February 06, 23",-0.0072318
17,2023-02-03,166.03,166.34,163.89,164.61,163.434509,6868540,6867900,-1.42,-0.85527,164.52,"February 03, 23",-0.0085527
18,2023-02-02,163.0,166.22,162.8224,165.54,164.357864,10098965,10099000,2.54,1.56,164.72,"February 02, 23",0.0156
19,2023-02-01,162.99,165.98,162.4,164.92,163.742294,9865296,9865300,1.93,1.18,164.32,"February 01, 23",0.0118
20,2023-01-31,161.7,163.43,161.05,163.42,162.253006,11612526,11612500,1.72,1.06,162.41,"January 31, 23",0.0106
