,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-03-01,142.1,143.4583,141.8,142.55,142.550003,7111324,7082733,0.45,0.31668,142.62,"March 01, 23",0.0031668
1,2023-02-28,142.94,143.76,141.9001,143.35,143.350006,11019757,11015300,0.41,0.28683,143.1,"February 28, 23",0.0028683
2,2023-02-27,142.11,143.31,141.7201,142.16,142.160004,10014654,10014700,0.05,0.03518401,142.5,"February 27, 23",0.0003518401
3,2023-02-24,139.11,141.36,138.93,140.93,140.929993,9126888,9126900,1.82,1.31,140.52,"February 24, 23",0.0131
4,2023-02-23,138.73,140.17,137.94,139.67,139.669998,8068010,8068000,0.94,0.67758,139.29,"February 23, 23",0.0067758
5,2023-02-22,138.92,139.43,137.435,138.56,138.559998,11104036,11107500,-0.36,-0.25914,138.63,"February 22, 23",-0.0025914
6,2023-02-21,140.69,141.34,138.75,139.63,139.630005,9996283,9996300,-1.06,-0.75343,139.69,"February 21, 23",-0.0075343
7,2023-02-17,140.98,142.83,140.07,142.24,142.240005,7948829,7947700,1.26,0.89374,141.82,"February 17, 23",0.0089374
8,2023-02-16,142.91,143.39,141.676,141.82,141.820007,8165306,8165300,-1.09,-0.76272,142.33,"February 16, 23",-0.0076272
9,2023-02-15,141.61,143.89,141.3,143.8,143.800003,6731172,6731200,2.19,1.55,143.21,"February 15, 23",0.0155
10,2023-02-14,142.5,143.81,141.595,143.2,143.199997,9249399,9249400,0.7,0.49123,143.01,"February 14, 23",0.0049123
11,2023-02-13,141.3,142.73,140.74,142.57,142.570007,7134607,7134600,1.27,0.8988,142.3,"February 13, 23",0.008988
12,2023-02-10,139.78,141.28,138.59,141.04,141.039993,6582853,6579300,1.26,0.90142,140.46,"February 10, 23",0.0090142
13,2023-02-09,143.12,143.34,139.87,140.42,140.419998,6443109,6443100,-2.7,-1.89,141.06,"February 09, 23",-0.0189
14,2023-02-08,142.65,144.04,142.2763,142.64,142.639999,6957965,6958000,-0.01,-0.00701016,143.06,"February 08, 23",-7.01016e-05
15,2023-02-07,141.38,144.34,141.18,143.65,143.649994,10447888,10447900,2.27,1.61,143.04,"February 07, 23",0.0161
16,2023-02-06,140.23,142.24,140.0313,141.92,141.919998,8406231,8406200,1.69,1.21,141.33,"February 06, 23",0.0121
17,2023-02-03,138.18,142.33,138.13,141.09,141.089996,11439232,11500400,2.91,2.11,140.75,"February 03, 23",0.0211
18,2023-02-02,140.0,140.46,138.0,138.94,138.940002,11822064,11822100,-1.06,-0.75714,139.07,"February 02, 23",-0.0075714
19,2023-02-01,138.21,140.875,138.12,139.59,139.589996,8841846,8841800,1.38,0.99848,139.56,"February 01, 23",0.0099848
20,2023-01-31,139.88,140.07,138.25,139.96,139.960007,9188738,9188700,0.08,0.05719188,139.33,"January 31, 23",0.0005719188
