,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-03-01,250.76,250.93,245.79,246.27,246.270004,26540083,26493697,-4.49,-1.79,247.48,"March 01, 23",-0.0179
1,2023-02-28,249.07,251.49,248.73,249.42,249.419998,22490950,22467600,0.35,0.14052,249.78,"February 28, 23",0.0014052
2,2023-02-27,252.46,252.82,249.39,250.16,250.160004,21184867,21190000,-2.3,-0.91104,250.5,"February 27, 23",-0.0091104
3,2023-02-24,249.96,251.0,248.1,249.22,249.220001,24860205,24990900,-0.74,-0.29605,249.41,"February 24, 23",-0.0029605
4,2023-02-23,255.56,256.84,250.48,254.77,254.770004,29219095,29219100,-0.79,-0.30913,253.94,"February 23, 23",-0.0030913
5,2023-02-22,254.09,254.34,250.34,251.51,251.509995,22491056,22491100,-2.58,-1.02,252.21,"February 22, 23",-0.0102
6,2023-02-21,254.48,255.49,251.59,252.67,252.669998,28372844,28397400,-1.81,-0.71125,253.03,"February 21, 23",-0.0071125
7,2023-02-17,259.39,260.09,256.0,258.06,258.059998,29998205,29979600,-1.33,-0.51274,257.69,"February 17, 23",-0.0051274
8,2023-02-16,264.02,266.74,261.9,262.15,262.149994,29529391,29603600,-1.87,-0.70828,264.1,"February 16, 23",-0.0070828
9,2023-02-15,268.32,270.73,266.18,269.32,269.320007,28962163,28962200,1.0,0.37269,268.43,"February 15, 23",0.0037269
10,2023-02-14,272.67,274.97,269.28,272.17,271.490021,37047924,37047900,-0.5,-0.18337,272.04,"February 14, 23",-0.0018337
11,2023-02-13,267.64,274.6,267.15,271.32,270.64212,44614921,44630900,3.68,1.37,271.44,"February 13, 23",0.0137
12,2023-02-10,261.53,264.09,260.662,263.1,262.442657,25808489,25760900,1.57,0.60031,262.4,"February 10, 23",0.0060031
13,2023-02-09,273.8,273.98,262.8,263.62,262.961365,42375102,42375100,-10.18,-3.72,267.3,"February 09, 23",-0.0372
14,2023-02-08,273.2,276.76,266.21,266.73,266.063599,54674349,54686000,-6.47,-2.37,270.34,"February 08, 23",-0.0237
15,2023-02-07,260.53,268.775,260.08,267.56,266.89151,50841365,50841400,7.03,2.7,264.69,"February 07, 23",0.027
16,2023-02-06,257.44,258.3,254.78,256.77,256.128448,22517997,22518000,-0.67,-0.26025,256.76,"February 06, 23",-0.0026025
17,2023-02-03,259.542,264.2,257.1,258.35,257.704529,29059256,29062300,-1.192,-0.45927,259.93,"February 03, 23",-0.0045927
18,2023-02-02,258.82,264.69,257.25,264.6,263.938904,39931837,39940400,5.78,2.23,261.62,"February 02, 23",0.0223
19,2023-02-01,248.0,255.18,245.47,252.75,252.118515,31259912,31259900,4.75,1.92,250.32,"February 01, 23",0.0192
20,2023-01-31,243.45,247.95,242.945,247.81,247.190857,26541072,26541100,4.36,1.79,246.54,"January 31, 23",0.0179
21,2023-01-30,244.51,245.6,242.2,242.71,242.103607,25867365,25867400,-1.8,-0.73617,243.22,"January 30, 23",-0.0073617
22,2023-01-27,248.99,249.83,246.83,248.16,247.539993,26498939,26480800,-0.83,-0.33335,248.39,"January 27, 23",-0.0033335
23,2023-01-26,243.65,248.31,242.0,248.0,247.380386,33454491,33454500,4.35,1.79,245.41,"January 26, 23",0.0179
24,2023-01-25,234.48,243.3,230.9,240.61,240.00885,66526641,66526600,6.13,2.61,237.48,"January 25, 23",0.0261
25,2023-01-24,242.5,243.95,240.44,242.04,241.435272,40218444,40234400,-0.46,-0.18969,243.79,"January 24, 23",-0.0018969
26,2023-01-23,241.1,245.165,239.65,242.58,241.973923,31933951,31934000,1.48,0.61385,242.75,"January 23, 23",0.0061385
27,2023-01-20,234.855,240.74,234.51,240.22,239.619827,35249809,35323400,5.365,2.28,238.2,"January 20, 23",0.0228
28,2023-01-19,233.78,235.52,230.68,231.93,231.350525,28592433,28623000,-1.85,-0.79134,232.54,"January 19, 23",-0.0079134
29,2023-01-18,241.565,242.38,235.52,235.81,235.22084,30028692,30028700,-5.755,-2.38,237.88,"January 18, 23",-0.0238
30,2023-01-17,237.97,240.91,237.09,240.35,239.749512,29831257,29831300,2.38,1.0,239.67,"January 17, 23",0.01
31,2023-01-13,237.002,239.37,234.92,239.23,238.632294,21333265,21317700,2.228,0.94008,237.47,"January 13, 23",0.0094008
32,2023-01-12,235.26,239.9,233.56,238.51,237.914093,27269486,27269500,3.25,1.38,237.81,"January 12, 23",0.0138
