,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-03-01,123.78,125.47,122.98,123.68,123.68,5038550,5038514,-0.1,-0.0807885,123.85,"March 01, 23",-0.000807885
1,2023-02-28,123.62,125.1,122.92,123.53,123.529999,6491849,6477400,-0.09,-0.07280375,123.85,"February 28, 23",-0.0007280375
2,2023-02-27,126.5,126.6,123.04,123.42,123.419998,7787226,7787200,-3.08,-2.43,124.13,"February 27, 23",-0.0243
3,2023-02-24,124.24,124.71,123.1808,124.34,124.339996,7346082,7356700,0.1,0.08048938,124.35,"February 24, 23",0.0008048938
4,2023-02-23,126.61,127.23,123.67,126.2,126.199997,6440201,6440200,-0.41,-0.32383,125.75,"February 23, 23",-0.0032383
5,2023-02-22,124.32,124.97,122.92,123.95,123.949997,5517829,5517800,-0.37,-0.29762,123.99,"February 22, 23",-0.0029762
6,2023-02-21,125.46,127.616,123.55,123.7,123.699997,8160173,8164400,-1.76,-1.4,124.76,"February 21, 23",-0.014
7,2023-02-17,129.5,129.81,126.96,127.72,127.720001,6022526,6021900,-1.78,-1.37,127.83,"February 17, 23",-0.0137
8,2023-02-16,130.75,132.59,129.95,130.16,130.160004,5788436,5788400,-0.59,-0.45124,130.94,"February 16, 23",-0.0045124
9,2023-02-15,130.6,133.33,130.3,133.07,133.070007,3503851,3503900,2.47,1.89,131.98,"February 15, 23",0.0189
10,2023-02-14,129.2,132.88,128.36,132.34,132.339996,5579884,5579900,3.14,2.43,131.7,"February 14, 23",0.0243
11,2023-02-13,129.46,131.43,128.39,130.84,130.839996,5550427,5550400,1.38,1.07,130.4,"February 13, 23",0.0107
12,2023-02-10,129.29,129.94,127.6201,128.99,128.990005,5319227,5318000,-0.3,-0.23204,128.72,"February 10, 23",-0.0023204
13,2023-02-09,133.89,135.228,129.92,130.53,130.529999,5717507,5717500,-3.36,-2.51,132.19,"February 09, 23",-0.0251
14,2023-02-08,135.31,136.28,131.76,132.17,132.169998,7151740,7151700,-3.14,-2.32,133.05,"February 08, 23",-0.0232
15,2023-02-07,133.15,137.38,132.33,136.63,136.630005,7664198,7664200,3.48,2.61,135.19,"February 07, 23",0.0261
16,2023-02-06,132.27,134.88,131.86,132.93,132.929993,6830514,6830500,0.66,0.49898,133.38,"February 06, 23",0.0049898
17,2023-02-03,131.16,138.4,128.57,135.02,135.020004,13187256,13182800,3.86,2.94,135.37,"February 03, 23",0.0294
18,2023-02-02,138.46,139.1637,134.801,135.85,135.850006,17673184,17673200,-2.61,-1.89,136.91,"February 02, 23",-0.0189
19,2023-02-01,132.68,139.94,132.68,138.46,138.460007,10500604,10500600,5.78,4.36,136.79,"February 01, 23",0.0436
20,2023-01-31,131.325,133.635,131.325,133.21,133.210007,7125079,7125100,1.885,1.44,132.79,"January 31, 23",0.0144
21,2023-01-30,131.05,132.4,130.15,131.63,131.630005,9841471,9854300,0.58,0.44258,131.32,"January 30, 23",0.0044258
22,2023-01-27,131.49,134.89,131.42,133.4,133.399994,6581941,6579700,1.91,1.45,133.51,"January 27, 23",0.0145
23,2023-01-26,134.405,134.85,131.1646,133.96,133.960007,7413602,7413600,-0.445,-0.33109,132.99,"January 26, 23",-0.0033109
24,2023-01-25,128.45,131.54,127.7,131.17,131.169998,6880304,6880300,2.72,2.12,130.18,"January 25, 23",0.0212
25,2023-01-24,130.55,132.97,130.15,130.7,130.699997,7952417,7952400,0.15,0.1149,131.42,"January 24, 23",0.001149
26,2023-01-23,126.54,132.06,125.82,131.03,131.029999,13419475,13419500,4.49,3.55,130.13,"January 23, 23",0.0355
27,2023-01-20,118.42,122.96,117.34,122.9,122.900002,8895014,8880300,4.48,3.78,121.2,"January 20, 23",0.0378
28,2023-01-19,121.06,121.1,117.42,117.58,117.580002,8716170,8716200,-3.48,-2.87,118.18,"January 19, 23",-0.0287
29,2023-01-18,121.62,123.99,121.01,122.04,122.040001,10960424,10960400,0.42,0.34534,122.76,"January 18, 23",0.0034534
30,2023-01-17,119.735,121.32,119.02,120.28,120.279999,6179477,6179500,0.545,0.45517,120.25,"January 17, 23",0.0045517
31,2023-01-13,119.82,121.42,119.72,120.24,120.239998,8040401,8038400,0.42,0.35053,120.38,"January 13, 23",0.0035053
32,2023-01-12,119.24,122.38,117.65,121.59,121.589996,9527629,9527600,2.35,1.97,120.93,"January 12, 23",0.0197
