,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-03-01,395.41,396.69,393.38,394.74,394.73999,99309569,92423045,-0.67,-0.16944,395.14,"March 01, 23",-0.0016944
1,2023-02-28,397.23,399.28,396.15,396.26,396.26001,96350567,96180400,-0.97,-0.24419,397.42,"February 28, 23",-0.0024419
2,2023-02-27,399.87,401.29,396.75,397.73,397.730011,80251136,80444700,-2.14,-0.53517,398.63,"February 27, 23",-0.0053517
3,2023-02-24,395.42,397.25,393.64,396.38,396.380005,108122913,108194400,0.96,0.24278,395.81,"February 24, 23",0.0024278
4,2023-02-23,401.56,402.2,396.25,400.66,400.660004,96195399,96242400,-0.9,-0.22413,399.62,"February 23, 23",-0.0022413
5,2023-02-22,399.52,401.13,397.02,398.54,398.540009,83500793,83742300,-0.98,-0.24529,398.91,"February 22, 23",-0.0024529
6,2023-02-21,403.06,404.16,398.82,399.09,399.089996,82585674,82655900,-3.97,-0.98497,401.14,"February 21, 23",-0.0098497
7,2023-02-17,406.06,407.51,404.05,407.26,407.26001,89196815,89169100,1.2,0.29552,406.13,"February 17, 23",0.0029552
8,2023-02-16,408.79,412.91,408.14,408.28,408.279999,76418169,76431500,-0.51,-0.12476,410.32,"February 16, 23",-0.0012476
9,2023-02-15,410.35,414.06,409.47,413.98,413.980011,61368279,61685300,3.63,0.88461,412.26,"February 15, 23",0.0088461
10,2023-02-14,411.24,415.05,408.511,412.64,412.640015,87681813,88389300,1.4,0.34043,412.12,"February 14, 23",0.0034043
11,2023-02-13,408.72,412.97,408.24,412.83,412.829987,64903039,64913500,4.11,1.01,411.39,"February 13, 23",0.0101
12,2023-02-10,405.86,408.44,405.01,408.04,408.040009,70767615,70738000,2.18,0.53713,407.01,"February 10, 23",0.0053713
13,2023-02-09,414.41,414.57,405.81,407.09,407.089996,78564109,78694900,-7.32,-1.77,409.8,"February 09, 23",-0.0177
14,2023-02-08,413.13,414.53,409.93,410.65,410.649994,76227462,76227500,-2.48,-0.6003,411.93,"February 08, 23",-0.006003
15,2023-02-07,408.87,416.49,407.57,415.19,415.190002,90721745,90990700,6.32,1.55,411.99,"February 07, 23",0.0155
16,2023-02-06,409.79,411.29,408.1,409.83,409.829987,60250025,60295300,0.04,0.0097611,409.99,"February 06, 23",9.7611e-05
17,2023-02-03,411.59,416.97,411.09,412.35,412.350006,94577181,94647400,0.76,0.18465,413.77,"February 03, 23",0.0018465
18,2023-02-02,414.86,418.31,412.88,416.78,416.779999,101192713,101654500,1.92,0.46281,415.52,"February 02, 23",0.0046281
19,2023-02-01,405.211,413.67,402.35,410.8,410.799988,101459155,101459200,5.589,1.38,407.86,"February 01, 23",0.0138
20,2023-01-31,401.13,406.53,400.77,406.48,406.480011,86655786,86811800,5.35,1.33,404.16,"January 31, 23",0.0133
21,2023-01-30,402.8,405.13,400.28,400.59,400.589996,74067618,74202000,-2.21,-0.54866,402.23,"January 30, 23",-0.0054866
22,2023-01-27,403.655,408.16,403.44,405.68,405.679993,68249180,68280700,2.025,0.50167,405.79,"January 27, 23",0.0050167
23,2023-01-26,403.13,404.92,400.03,404.75,404.75,72177425,72287400,1.62,0.40186,402.61,"January 26, 23",0.0040186
24,2023-01-25,395.95,400.7,393.56,400.35,400.350006,84684501,84800300,4.4,1.11,397.86,"January 25, 23",0.0111
25,2023-01-24,398.88,401.15,397.64,400.2,400.200012,59469411,59524900,1.32,0.33093,399.94,"January 24, 23",0.0033093
26,2023-01-23,396.72,402.645,395.72,400.63,400.630005,84178797,84178800,3.91,0.98558,399.77,"January 23, 23",0.0098558
27,2023-01-20,390.1,396.04,388.38,395.88,395.880005,91542126,91544900,5.78,1.48,392.59,"January 20, 23",0.0148
28,2023-01-19,389.36,391.08,387.26,388.64,388.640015,86601919,86958900,-0.72,-0.18492,389.27,"January 19, 23",-0.0018492
29,2023-01-18,399.01,400.12,391.28,391.49,391.48999,99495062,99632300,-7.52,-1.88,394.56,"January 18, 23",-0.0188
30,2023-01-17,398.48,400.23,397.06,397.77,397.769989,62577281,62677300,-0.71,-0.17818,398.2,"January 17, 23",-0.0017818
31,2023-01-13,393.62,399.1,393.34,398.5,398.5,63853932,63863400,4.88,1.24,396.84,"January 13, 23",0.0124
32,2023-01-12,396.67,398.485,392.42,396.96,396.959991,90145699,90157700,0.29,0.07310863,396.31,"January 12, 23",0.0007310863
33,2023-01-11,392.23,395.6,391.38,395.52,395.519989,68702980,68881100,3.29,0.83879,393.3,"January 11, 23",0.0083879
34,2023-01-10,387.25,390.65,386.27,390.58,390.579987,65298094,65358100,3.33,0.85991,389.08,"January 10, 23",0.0085991
35,2023-01-09,390.37,393.7,387.67,387.86,387.859985,73978071,73978100,-2.51,-0.64298,390.36,"January 09, 23",-0.0064298
36,2023-01-06,382.61,389.25,379.4127,388.08,388.079987,104052662,104041300,5.47,1.43,385.25,"January 06, 23",0.0143
37,2023-01-05,381.72,381.84,378.76,379.38,379.380005,76275354,76970500,-2.34,-0.61301,380.26,"January 05, 23",-0.0061301
38,2023-01-04,383.18,385.88,380.0,383.76,383.76001,85934098,85934100,0.58,0.15136,383.15,"January 04, 23",0.0015136
39,2023-01-03,384.37,386.43,377.831,380.82,380.820007,74850731,74850700,-3.55,-0.92359,380.96,"January 03, 23",-0.0092359
40,2022-12-30,380.64,382.58,378.43,382.43,382.429993,84022205,83975100,1.79,0.47026,381.22,"December 30, 22",0.0047026
41,2022-12-29,379.63,384.35,379.08,383.44,383.440002,66470557,66970900,3.81,1.0,382.43,"December 29, 22",0.01
42,2022-12-28,381.33,383.39,376.42,376.66,376.660004,70911520,70911500,-4.67,-1.22,379.06,"December 28, 22",-0.0122
43,2022-12-27,382.79,383.15,379.65,381.4,381.399994,51540780,51638200,-1.39,-0.36312,381.78,"December 27, 22",-0.0036312
44,2022-12-23,379.65,383.06,378.03,382.91,382.910004,59827329,59857300,3.26,0.85869,381.53,"December 23, 22",0.0085869
45,2022-12-22,383.05,386.2134,374.77,380.72,380.720001,100105855,100120900,-2.33,-0.60828,379.62,"December 22, 22",-0.0060828
46,2022-12-21,383.25,387.41,382.69,386.23,386.230011,77836645,78167400,2.98,0.77756,385.47,"December 21, 22",0.0077756
47,2022-12-20,379.23,382.23,377.85,380.54,380.540009,73927240,74427200,1.31,0.34544,380.63,"December 20, 22",0.0034544
48,2022-12-19,383.47,383.82,378.28,380.02,380.019989,79831403,79878100,-3.45,-0.89968,380.6,"December 19, 22",-0.0089968
49,2022-12-16,385.18,386.575,381.04,383.27,383.269989,119852952,119858000,-1.91,-0.49587,383.75,"December 16, 22",-0.0049587
50,2022-12-15,394.3,395.25,387.885,389.63,387.848999,117015889,117705900,-4.67,-1.18,390.9,"December 15, 22",-0.0118
51,2022-12-14,401.61,405.5,396.31,399.4,397.574341,107711349,108111300,-2.21,-0.55029,401.13,"December 14, 22",-0.0055029
52,2022-12-13,410.22,410.49,399.07,401.97,400.132599,123649534,123782500,-8.25,-2.01,403.57,"December 13, 22",-0.0201
53,2022-12-12,394.11,398.95,393.412,398.95,397.126404,73915035,75405800,4.84,1.23,396.21,"December 12, 22",0.0123
54,2022-12-09,394.94,397.62,393.15,393.28,391.4823,80793733,81447700,-1.66,-0.42032,395.2,"December 09, 22",-0.0042032
55,2022-12-08,395.14,397.36,393.2684,396.24,394.428772,60737912,60737900,1.1,0.27838,395.71,"December 08, 22",0.0027838
56,2022-12-07,392.94,395.64,391.97,393.16,391.362854,65855396,65927900,0.22,0.05598819,393.44,"December 07, 22",0.0005598819
57,2022-12-06,399.42,399.99,391.64,393.83,392.029785,77048217,77972200,-5.59,-1.4,394.85,"December 06, 22",-0.014
58,2022-12-05,403.95,404.93,398.17,399.59,397.763458,77039815,77289800,-4.36,-1.08,401.47,"December 05, 22",-0.0108
59,2022-12-02,402.25,407.86,402.14,406.91,405.050018,83492731,85342700,4.66,1.16,405.11,"December 02, 22",0.0116
60,2022-12-01,408.77,410.0,404.75,407.38,405.517853,75908170,76398200,-1.39,-0.34004,407.37,"December 01, 22",-0.0034004
61,2022-11-30,395.49,407.68,393.48,407.68,405.816467,144105353,144566700,12.19,3.08,401.78,"November 30, 22",0.0308
62,2022-11-29,396.05,397.3,393.3,395.23,393.423401,52310039,52310000,-0.82,-0.20704,395.18,"November 29, 22",-0.0020704
63,2022-11-28,399.09,400.81,395.11,395.91,394.100281,68021749,67881600,-3.18,-0.79681,397.88,"November 28, 22",-0.0079681
64,2022-11-25,401.83,402.91,401.535,402.33,400.490936,30545434,30545400,0.5,0.12443,402.27,"November 25, 22",0.0012443
65,2022-11-23,399.55,402.93,399.31,402.42,400.580536,67212628,68261600,2.87,0.71831,401.58,"November 23, 22",0.0071831
66,2022-11-22,396.63,400.07,395.1527,399.9,398.072052,60420325,60429000,3.27,0.82445,398.24,"November 22, 22",0.0082445
67,2022-11-21,394.64,395.82,392.66,394.59,392.786316,51152189,51243200,-0.05,-0.01266977,394.53,"November 21, 22",-0.0001266977
68,2022-11-18,397.74,397.81,393.04,396.03,394.219727,92442751,92922500,-1.71,-0.42993,395.4,"November 18, 22",-0.0042993
69,2022-11-17,390.46,394.95,390.14,394.24,392.437897,74426055,74496300,3.78,0.96809,392.81,"November 17, 22",0.0096809
70,2022-11-16,396.78,397.78,394.79,395.45,393.642395,68508454,68508500,-1.33,-0.3352,396.09,"November 16, 22",-0.003352
71,2022-11-15,401.15,402.31,394.49,398.49,396.668488,93153920,93194500,-2.66,-0.66309,398.79,"November 15, 22",-0.0066309
72,2022-11-14,396.66,400.1799,394.83,395.12,393.313904,71522915,71903500,-1.54,-0.38824,397.62,"November 14, 22",-0.0038824
73,2022-11-11,395.59,399.35,393.61,398.51,396.688416,93839872,93839900,2.92,0.73814,396.97,"November 11, 22",0.0073814
