,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-03-01,206.21,207.2,198.52,202.77,202.770004,147372434,142849173,-3.44,-1.67,201.81,"March 01, 23",-0.0167
1,2023-02-28,210.59,211.23,203.75,205.71,205.710007,153140787,153144900,-4.88,-2.32,207.08,"February 28, 23",-0.0232
2,2023-02-27,202.03,209.42,201.26,207.63,207.630005,161026215,161028300,5.6,2.77,206.32,"February 27, 23",0.0277
3,2023-02-24,196.325,197.6695,192.8,196.88,196.880005,142221085,141965900,0.555,0.28269,195.58,"February 24, 23",0.0028269
4,2023-02-23,203.91,205.14,196.33,202.07,202.070007,146359950,146360000,-1.84,-0.90236,200.64,"February 23, 23",-0.0090236
5,2023-02-22,197.93,201.99,191.78,200.86,200.860001,191730657,191828500,2.93,1.48,197.46,"February 22, 23",0.0148
6,2023-02-21,204.99,209.71,197.22,197.37,197.369995,179997088,180018600,-7.62,-3.72,202.41,"February 21, 23",-0.0372
7,2023-02-17,199.985,208.44,197.5,208.31,208.309998,213728549,213080200,8.325,4.16,202.96,"February 17, 23",0.0416
8,2023-02-16,210.78,217.65,201.84,202.04,202.039993,229558338,229586500,-8.74,-4.15,211.32,"February 16, 23",-0.0415
9,2023-02-15,211.755,214.66,206.11,214.24,214.240005,182016181,182108600,2.485,1.17,211.61,"February 15, 23",0.0117
10,2023-02-14,191.94,209.82,189.44,209.25,209.25,216334008,216455700,17.31,9.02,201.82,"February 14, 23",0.0902
11,2023-02-13,194.415,196.3,187.61,194.64,194.639999,172475452,172475500,0.225,0.11573,193.3,"February 13, 23",0.0011573
12,2023-02-10,202.225,206.2,192.89,196.89,196.889999,204754129,204193800,-5.335,-2.64,198.12,"February 10, 23",-0.0264
13,2023-02-09,207.775,214.0,204.77,207.32,207.320007,215431442,215431400,-0.455,-0.21899,209.93,"February 09, 23",-0.0021899
14,2023-02-08,196.1,203.0,194.31,201.29,201.289993,180612134,180673600,5.19,2.65,200.28,"February 08, 23",0.0265
15,2023-02-07,196.43,197.5,189.55,196.81,196.809998,185997767,186010300,0.38,0.19345,194.12,"February 07, 23",0.0019345
16,2023-02-06,193.01,198.17,189.92,194.76,194.759995,186180031,186188100,1.75,0.90669,194.55,"February 06, 23",0.0090669
