,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-03-01,38.71,38.71,38.15,38.3,38.299999,18390704,15884191,-0.41,-1.06,38.33,"March 01, 23",-0.0106
1,2023-02-28,38.7,38.97,38.55,38.81,38.810001,16685262,16682400,0.11,0.28424,38.8,"February 28, 23",0.0028424
2,2023-02-27,38.99,39.145,38.63,38.88,38.880001,14210850,14210900,-0.11,-0.28212,38.82,"February 27, 23",-0.0028212
3,2023-02-24,38.23,38.76,38.09,38.74,38.740002,16431537,16431500,0.51,1.33,38.5,"February 24, 23",0.0133
4,2023-02-23,39.12,39.32,38.52,38.53,38.529999,16738177,16738200,-0.59,-1.51,38.73,"February 23, 23",-0.0151
5,2023-02-22,39.38,39.59,39.025,39.28,39.279999,15086755,15086800,-0.1,-0.25394,39.29,"February 22, 23",-0.0025394
6,2023-02-21,39.9,39.98,39.16,39.2,39.200001,17805490,17805500,-0.7,-1.75,39.4,"February 21, 23",-0.0175
7,2023-02-17,39.84,40.39,39.66,40.22,40.220001,15029174,15026000,0.38,0.95382,40.17,"February 17, 23",0.0095382
8,2023-02-16,40.06,40.21,39.7,39.84,39.84,16625882,16625900,-0.22,-0.54918,39.93,"February 16, 23",-0.0054918
9,2023-02-15,40.23,40.4,40.095,40.38,40.380001,11270429,11270400,0.15,0.37286,40.29,"February 15, 23",0.0037286
10,2023-02-14,40.46,40.58,39.91,40.33,40.330002,12292355,12292400,-0.13,-0.3213,40.26,"February 14, 23",-0.003213
11,2023-02-13,40.01,40.47,39.88,40.32,40.32,14486021,14486000,0.31,0.77481,40.22,"February 13, 23",0.0077481
12,2023-02-10,40.0,40.065,39.715,40.01,40.009998,15398542,15396400,0.01,0.025,39.93,"February 10, 23",0.00025
13,2023-02-09,40.62,40.66,39.75,39.81,39.810001,17485658,17485700,-0.81,-1.99,39.98,"February 09, 23",-0.0199
14,2023-02-08,40.53,40.7,40.1234,40.52,40.52,14038247,14080200,-0.01,-0.02467308,40.49,"February 08, 23",-0.0002467308
15,2023-02-07,40.99,41.21,40.12,40.55,40.549999,21668545,21668500,-0.44,-1.07,40.54,"February 07, 23",-0.0107
16,2023-02-06,41.51,41.59,40.895,41.28,41.279999,15530722,15530700,-0.23,-0.55408,41.18,"February 06, 23",-0.0055408
17,2023-02-03,41.78,41.97,41.14,41.51,41.509998,18314419,18312200,-0.27,-0.64624,41.43,"February 03, 23",-0.0064624
18,2023-02-02,41.74,41.93,41.2,41.83,41.830002,18443768,18443800,0.09,0.21562,41.72,"February 02, 23",0.0021562
19,2023-02-01,41.99,42.0,41.125,41.69,41.689999,19542040,19542000,-0.3,-0.71446,41.66,"February 01, 23",-0.0071446
20,2023-01-31,41.08,41.58,41.01,41.57,41.57,18665168,18665200,0.49,1.19,41.36,"January 31, 23",0.0119
21,2023-01-30,40.84,41.26,40.7,41.05,41.049999,22272551,22272600,0.21,0.5142,41.08,"January 30, 23",0.005142
22,2023-01-27,40.22,40.68,39.77,40.64,40.639999,17254035,17251300,0.42,1.04,40.44,"January 27, 23",0.0104
23,2023-01-26,40.38,40.57,39.93,40.27,40.27,19568136,19568100,-0.11,-0.27241,40.18,"January 26, 23",-0.0027241
24,2023-01-25,40.54,41.09,39.91,40.33,40.330002,26524702,26527000,-0.21,-0.51801,40.41,"January 25, 23",-0.0051801
25,2023-01-24,38.69,44.73,38.41,40.42,40.419998,32133685,32143900,1.73,4.47,39.78,"January 24, 23",0.0447
26,2023-01-23,39.99,40.34,39.42,39.63,39.630001,34249323,34249300,-0.36,-0.90023,39.86,"January 23, 23",-0.0090023
27,2023-01-20,40.04,40.12,39.46,40.0,40.0,23377874,23151900,-0.04,-0.0999001,39.87,"January 20, 23",-0.000999001
28,2023-01-19,39.71,40.275,39.4715,40.06,40.060001,24812611,24812600,0.35,0.88139,39.93,"January 19, 23",0.0088139
29,2023-01-18,40.86,40.86,39.8241,39.97,39.970001,22976472,22976500,-0.89,-2.18,40.15,"January 18, 23",-0.0218
30,2023-01-17,41.85,41.92,40.79,40.85,40.849998,28696962,28697000,-1.0,-2.39,41.03,"January 17, 23",-0.0239
31,2023-01-13,41.65,41.915,41.37,41.86,41.860001,17229808,17226700,0.21,0.5042,41.66,"January 13, 23",0.005042
32,2023-01-12,41.38,41.95,41.123,41.81,41.810001,16980290,16980300,0.43,1.04,41.73,"January 12, 23",0.0104
33,2023-01-11,42.14,42.18,41.02,41.18,41.18,20674841,20674800,-0.96,-2.28,41.25,"January 11, 23",-0.0228
