,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-03-01,141.06,141.28,139.3701,140.15,140.149994,4720812,3934739,-0.91,-0.64512,140.11,"March 01, 23",-0.0064512
1,2023-02-28,141.0,142.65,140.95,142.13,142.130005,6018036,6017200,1.13,0.80142,142.14,"February 28, 23",0.0080142
2,2023-02-27,142.71,143.09,140.66,141.44,141.440002,5549099,5549100,-1.27,-0.88992,141.78,"February 27, 23",-0.0088992
3,2023-02-24,140.84,142.74,139.53,142.47,142.470001,6874531,6874500,1.63,1.16,141.57,"February 24, 23",0.0116
4,2023-02-23,144.37,144.37,140.71,142.09,142.089996,7340419,7340400,-2.28,-1.58,142.1,"February 23, 23",-0.0158
5,2023-02-22,146.77,147.57,142.76,144.24,144.240005,9947985,9948000,-2.53,-1.72,144.39,"February 22, 23",-0.0172
6,2023-02-21,142.88,148.34,142.15,147.33,147.330002,18131279,18131300,4.45,3.11,146.37,"February 21, 23",0.0311
7,2023-02-17,145.11,146.69,144.57,146.44,146.440002,8256940,8250700,1.33,0.91655,145.8,"February 17, 23",0.0091655
8,2023-02-16,145.48,145.99,144.18,144.27,144.270004,5435136,5437400,-1.21,-0.83173,144.9,"February 16, 23",-0.0083173
9,2023-02-15,144.96,146.6,144.56,146.57,146.570007,4892684,4892700,1.61,1.11,145.82,"February 15, 23",0.0111
10,2023-02-14,145.73,147.1307,144.56,145.49,145.490005,4610630,4610400,-0.24,-0.16469,145.66,"February 14, 23",-0.0016469
11,2023-02-13,144.71,146.12,144.51,145.91,145.910004,5338635,5338600,1.2,0.82924,145.59,"February 13, 23",0.0082924
12,2023-02-10,143.09,143.94,142.17,143.72,143.720001,5000947,5000000,0.63,0.44028,143.32,"February 10, 23",0.0044028
13,2023-02-09,140.87,141.94,140.568,141.52,141.520004,4354979,4354800,0.65,0.46142,141.33,"February 09, 23",0.0046142
14,2023-02-08,140.33,141.1,139.985,140.22,140.220001,3897058,3897100,-0.11,-0.07838666,140.41,"February 08, 23",-0.0007838666
15,2023-02-07,139.77,141.3,138.69,140.98,140.979996,5447116,5447100,1.21,0.86571,140.12,"February 07, 23",0.0086571
16,2023-02-06,141.82,142.1,140.03,140.68,140.679993,5817971,5818000,-1.14,-0.80384,140.56,"February 06, 23",-0.0080384
17,2023-02-03,143.36,143.96,140.86,141.71,141.710007,5718501,5717000,-1.65,-1.15,141.7,"February 03, 23",-0.0115
18,2023-02-02,144.41,144.86,142.9356,143.62,143.619995,5935591,5935600,-0.79,-0.54705,143.81,"February 02, 23",-0.0054705
19,2023-02-01,143.66,145.61,142.7,144.67,144.669998,4283059,4283100,1.01,0.70305,144.23,"February 01, 23",0.0070305
20,2023-01-31,142.32,143.88,141.66,143.87,143.869995,4701157,4701200,1.55,1.09,143.02,"January 31, 23",0.0109
21,2023-01-30,142.12,142.45,141.27,142.15,142.149994,5299156,5299200,0.03,0.02110892,141.89,"January 30, 23",0.0002110892
22,2023-01-27,142.6,144.47,141.75,143.3,143.300003,6137582,6135900,0.7,0.49088,143.43,"January 27, 23",0.0049088
23,2023-01-26,143.03,143.75,141.76,142.21,142.210007,5273032,5273000,-0.82,-0.57331,142.47,"January 26, 23",-0.0057331
24,2023-01-25,142.24,142.835,140.39,142.34,142.339996,4163912,4163900,0.1,0.07030371,141.77,"January 25, 23",0.0007030371
25,2023-01-24,146.55,159.88,141.0,143.02,143.020004,4554357,4556500,-3.53,-2.41,142.81,"January 24, 23",-0.0241
26,2023-01-23,140.46,143.01,140.2,142.64,142.639999,4383271,4383300,2.18,1.55,142.28,"January 23, 23",0.0155
27,2023-01-20,139.4,140.78,138.17,140.54,140.539993,9847661,9841500,1.14,0.81779,140.07,"January 20, 23",0.0081779
28,2023-01-19,141.39,141.525,138.79,138.83,138.830002,5780700,5780700,-2.56,-1.81,139.67,"January 19, 23",-0.0181
29,2023-01-18,144.2,144.25,140.475,140.84,140.839996,7558141,7558100,-3.36,-2.33,141.75,"January 18, 23",-0.0233
30,2023-01-17,145.29,145.71,144.195,144.41,144.410004,5040811,5040800,-0.88,-0.60569,144.67,"January 17, 23",-0.0060569
31,2023-01-13,145.53,145.82,143.8601,145.29,145.289993,4566729,4566600,-0.24,-0.16491,144.81,"January 13, 23",-0.0016491
32,2023-01-12,146.41,146.42,144.39,144.81,144.809998,4157353,4157600,-1.6,-1.09,145.09,"January 12, 23",-0.0109
33,2023-01-11,145.74,146.18,144.73,146.13,146.130005,4944866,4944900,0.39,0.2676,145.6,"January 11, 23",0.002676
34,2023-01-10,144.94,145.45,143.73,144.86,144.860001,3990219,3990200,-0.08,-0.05519525,144.58,"January 10, 23",-0.0005519525
35,2023-01-09,146.32,147.86,144.8,144.95,144.949997,5918873,5918900,-1.37,-0.9363,145.91,"January 09, 23",-0.009363
36,2023-01-06,144.6,147.55,144.24,146.78,146.779999,7077269,7076300,2.18,1.51,146.6,"January 06, 23",0.0151
